temperature	 b3cb8a	 b3cb8na	 b3cb8tot
390.00	 1115.9(13)	 125.5(5)	 1241.5(14)
400.00	 1109.4(13)	 121.7(4)	 1231.1(14)
410.00	 1107.1(13)	 117.6(4)	 1224.7(14)
420.00	 1103.7(13)	 114.4(4)	 1218.1(14)
430.00	 1098.8(13)	 110.6(4)	 1209.4(13)
440.00	 1097.2(12)	 108.4(4)	 1205.5(13)
450.00	 1093.1(12)	 105.5(4)	 1198.6(13)
460.00	 1087.8(13)	 103.1(4)	 1190.9(13)
470.00	 1088.2(12)	 100.6(4)	 1188.8(13)
480.00	 1084.9(12)	 98.0(4)	 1182.8(13)
490.00	 1080.4(13)	 95.4(4)	 1175.8(13)
500.00	 1081.8(12)	 93.2(4)	 1175.0(13)
520.00	 1078.3(12)	 89.1(3)	 1167.3(13)
540.00	 1073.9(12)	 85.1(3)	 1159.1(13)
560.00	 1068.8(12)	 82.1(3)	 1150.9(12)
580.00	 1065.8(12)	 79.3(3)	 1145.1(12)
600.00	 1062.3(12)	 75.9(3)	 1138.1(12)
620.00	 1059.3(12)	 73.8(3)	 1133.1(12)
640.00	 1056.0(12)	 70.6(3)	 1126.6(12)
660.00	 1052.6(12)	 68.8(3)	 1121.5(13)
680.00	 1048.2(11)	 66.1(2)	 1114.3(11)
700.00	 1047.2(12)	 64.4(2)	 1111.6(12)
720.00	 1045.3(12)	 63.1(2)	 1108.4(12)
740.00	 1041.7(12)	 60.9(2)	 1102.6(12)
760.00	 1037.0(12)	 59.1(2)	 1096.1(12)
780.00	 1033.8(12)	 57.5(2)	 1091.3(12)
800.00	 1031.7(12)	 56.14(19)	 1087.9(12)
820.00	 1026.6(12)	 55.05(19)	 1081.7(12)
840.00	 1023.7(11)	 53.33(18)	 1077.1(11)
860.00	 1022.1(11)	 52.4(2)	 1074.6(11)
880.00	 1018.4(11)	 51.20(18)	 1069.6(11)
900.00	 1015.4(11)	 49.99(17)	 1065.4(12)
920.00	 1011.9(11)	 48.72(17)	 1060.6(11)
940.00	 1010.7(11)	 47.94(16)	 1058.6(12)
960.00	 1006.7(11)	 46.63(15)	 1053.3(11)
980.00	 1005.8(11)	 45.99(16)	 1051.8(11)
1000.00	 999.7(11)	 45.07(16)	 1044.8(11)
1050.00	 992.0(11)	 42.91(15)	 1034.9(11)
1100.00	 983.5(11)	 41.22(14)	 1024.7(11)
1150.00	 977.3(11)	 39.79(13)	 1017.1(11)
1200.00	 967.9(11)	 38.20(12)	 1006.1(11)
1250.00	 960.1(11)	 36.58(12)	 996.6(11)
1300.00	 953.6(11)	 35.27(11)	 988.8(11)
1350.00	 943.7(10)	 34.14(11)	 977.8(10)
1400.00	 938.1(10)	 32.90(10)	 971.0(10)
1450.00	 930.0(10)	 31.94(10)	 962.0(10)
1500.00	 923.5(10)	 30.69(10)	 954.1(10)
1600.00	 909.5(10)	 29.43(9)	 938.9(10)
1700.00	 893.3(10)	 27.60(9)	 920.9(10)
1800.00	 879.8(10)	 26.38(8)	 906.2(10)
1900.00	 867.7(9)	 25.23(8)	 892.9(9)
2000.00	 856.3(10)	 24.04(7)	 880.3(10)
2200.00	 830.9(9)	 22.15(7)	 853.1(9)
2400.00	 810.1(10)	 20.63(6)	 830.7(10)
2600.00	 787.0(9)	 19.43(5)	 806.4(9)
2800.00	 768.5(9)	 18.15(5)	 786.6(9)
3000.00	 748.7(9)	 17.22(5)	 766.0(9)
