temperature	 b3scb8a	 b3scb8na	 b3scb8tot
640.00	 1053.8(12)	 71.0(8)	 1124.8(14)
660.00	 1055.0(12)	 69.7(8)	 1124.7(14)
680.00	 1052.5(12)	 65.9(7)	 1118.4(14)
700.00	 1045.8(11)	 64.7(8)	 1110.6(14)
720.00	 1042.8(12)	 62.2(7)	 1105.0(14)
740.00	 1041.5(12)	 61.4(7)	 1102.9(14)
760.00	 1038.1(12)	 59.4(7)	 1097.5(13)
780.00	 1034.2(11)	 57.1(6)	 1091.3(13)
800.00	 1029.9(11)	 56.2(6)	 1086.1(13)
820.00	 1028.4(11)	 54.8(6)	 1083.2(13)
840.00	 1026.7(12)	 53.4(6)	 1080.1(13)
860.00	 1021.5(12)	 53.5(7)	 1075.0(13)
880.00	 1019.8(11)	 51.3(5)	 1071.1(13)
900.00	 1018.4(11)	 50.3(6)	 1068.7(12)
920.00	 1011.8(11)	 48.9(5)	 1060.7(12)
940.00	 1007.9(11)	 47.2(5)	 1055.1(12)
960.00	 1008.2(11)	 45.8(5)	 1054.0(12)
980.00	 1003.5(11)	 46.3(5)	 1049.7(12)
1000.00	 1001.1(11)	 44.6(5)	 1045.7(12)
1050.00	 992.1(11)	 43.4(5)	 1035.5(12)
1100.00	 982.3(11)	 41.5(4)	 1023.8(12)
1150.00	 976.7(11)	 39.9(4)	 1016.6(12)
1200.00	 970.8(11)	 37.6(4)	 1008.4(11)
1250.00	 959.7(11)	 36.2(4)	 995.8(11)
1300.00	 952.4(10)	 35.5(4)	 987.9(11)
1350.00	 945.1(10)	 34.1(3)	 979.2(11)
1400.00	 940.0(10)	 33.5(3)	 973.5(11)
1450.00	 930.6(10)	 32.0(3)	 962.6(11)
1500.00	 924.6(10)	 31.3(3)	 955.9(11)
1600.00	 908.0(10)	 29.2(3)	 937.2(10)
1700.00	 895.3(10)	 27.7(3)	 923.0(10)
1800.00	 879.9(10)	 26.7(3)	 906.6(10)
1900.00	 867.6(10)	 25.7(2)	 893.3(10)
2000.00	 856.0(10)	 24.0(2)	 879.9(10)
2200.00	 831.2(9)	 22.3(2)	 853.4(9)
2400.00	 808.2(9)	 20.54(18)	 828.7(10)
2600.00	 786.0(9)	 19.44(17)	 805.5(9)
2800.00	 768.1(9)	 18.04(15)	 786.2(9)
3000.00	 747.2(8)	 17.33(16)	 764.5(8)
