temperature	 b3scb8a	 b3scb8na	 b3scb8tot
340.00	 1148.7(14)	 149.8(18)	 1298(2)
350.00	 1142.9(14)	 141.1(17)	 1284(2)
360.00	 1133.4(14)	 137.8(16)	 1271(2)
370.00	 1127.3(14)	 130.3(16)	 1258(2)
380.00	 1117.7(14)	 129.2(15)	 1247(2)
390.00	 1114.5(13)	 125.1(15)	 1240(2)
400.00	 1109.3(13)	 121.4(15)	 1230.8(19)
410.00	 1106.2(13)	 117.4(14)	 1223.6(19)
420.00	 1103.0(13)	 115.9(14)	 1218.9(19)
430.00	 1098.6(13)	 111.2(13)	 1209.8(18)
440.00	 1096.1(12)	 108.7(13)	 1204.8(18)
450.00	 1090.5(12)	 107.2(13)	 1197.8(18)
460.00	 1086.9(12)	 102.4(13)	 1189.3(18)
470.00	 1087.6(12)	 99.4(12)	 1187.0(17)
480.00	 1085.7(12)	 98.9(11)	 1184.7(17)
490.00	 1082.9(13)	 96.8(12)	 1179.7(17)
500.00	 1082.8(12)	 91.5(10)	 1174.2(16)
520.00	 1073.5(12)	 89.8(10)	 1163.3(16)
540.00	 1071.2(12)	 84.7(10)	 1156.0(16)
560.00	 1067.9(13)	 81.2(10)	 1149.0(16)
580.00	 1064.0(13)	 79.5(9)	 1143.5(15)
600.00	 1064.0(12)	 76.2(9)	 1140.2(15)
620.00	 1058.7(12)	 72.6(8)	 1131.3(14)
640.00	 1054.7(12)	 71.2(8)	 1125.9(14)
660.00	 1051.1(12)	 68.3(7)	 1119.3(14)
680.00	 1048.8(12)	 65.6(7)	 1114.5(14)
700.00	 1047.8(12)	 64.5(7)	 1112.3(14)
720.00	 1044.6(12)	 63.3(7)	 1108.0(14)
740.00	 1040.6(12)	 61.8(7)	 1102.3(14)
760.00	 1038.0(11)	 59.3(6)	 1097.3(13)
780.00	 1035.9(11)	 59.1(7)	 1095.0(13)
800.00	 1033.5(11)	 56.6(6)	 1090.1(13)
820.00	 1029.3(11)	 55.5(7)	 1084.8(13)
840.00	 1023.9(12)	 54.0(6)	 1077.9(13)
860.00	 1024.1(11)	 52.1(6)	 1076.2(13)
880.00	 1018.9(11)	 50.2(6)	 1069.0(13)
900.00	 1016.3(11)	 50.1(5)	 1066.4(12)
920.00	 1012.3(11)	 48.3(5)	 1060.6(12)
940.00	 1007.5(11)	 47.9(5)	 1055.4(12)
960.00	 1005.8(11)	 46.3(5)	 1052.1(12)
980.00	 1003.2(11)	 45.6(5)	 1048.8(12)
1000.00	 1002.1(11)	 44.8(5)	 1047.0(12)
1050.00	 991.3(11)	 42.7(4)	 1034.0(12)
1100.00	 984.2(11)	 41.0(4)	 1025.3(12)
1150.00	 978.0(11)	 39.3(4)	 1017.4(11)
1200.00	 966.7(10)	 38.4(4)	 1005.1(11)
1250.00	 960.3(11)	 37.3(4)	 997.7(11)
1300.00	 953.6(10)	 34.5(3)	 988.1(11)
1350.00	 946.0(11)	 34.2(4)	 980.2(11)
1400.00	 937.8(10)	 32.8(3)	 970.5(11)
1450.00	 930.1(11)	 31.7(3)	 961.8(11)
1500.00	 921.4(10)	 31.0(3)	 952.4(10)
1600.00	 910.6(10)	 29.0(3)	 939.6(10)
1700.00	 895.0(10)	 28.1(3)	 923.0(10)
1800.00	 880.1(10)	 26.0(2)	 906.1(10)
1900.00	 868.6(10)	 25.1(2)	 893.7(10)
2000.00	 855.6(10)	 24.2(2)	 879.8(10)
2200.00	 831.5(9)	 22.48(19)	 854.0(9)
2400.00	 806.6(9)	 20.56(19)	 827.2(9)
2600.00	 786.1(9)	 19.60(17)	 805.7(9)
2800.00	 768.3(9)	 18.35(18)	 786.6(9)
3000.00	 749.9(9)	 17.31(15)	 767.2(9)
