temperature	 b2sc	 b3sca	 b3scna	 b3sctot
200.00	 -35.64(2)	 1542.9(8)	 335.0(4)	 1877.9(10)
210.00	 -30.911(19)	 1478.7(8)	 307.5(4)	 1786.3(9)
220.00	 -26.680(19)	 1424.7(7)	 284.5(4)	 1709.2(8)
230.00	 -22.850(18)	 1377.6(7)	 264.8(3)	 1642.4(8)
240.00	 -19.482(18)	 1341.2(6)	 246.7(3)	 1587.9(7)
250.00	 -16.393(17)	 1306.5(6)	 232.1(3)	 1538.6(7)
260.00	 -13.561(17)	 1278.8(6)	 218.6(3)	 1497.3(6)
270.00	 -10.972(16)	 1252.6(6)	 206.4(3)	 1459.0(6)
280.00	 -8.619(16)	 1231.9(6)	 195.6(3)	 1427.4(6)
290.00	 -6.497(16)	 1212.7(5)	 186.2(2)	 1398.9(6)
300.00	 -4.503(15)	 1195.6(5)	 177.4(2)	 1373.0(6)
310.00	 -2.633(15)	 1182.5(5)	 170.1(2)	 1352.6(5)
320.00	 -0.945(15)	 1168.9(5)	 162.1(2)	 1331.0(5)
330.00	 0.620(14)	 1158.8(5)	 155.7(2)	 1314.5(5)
340.00	 2.121(14)	 1148.1(5)	 149.81(19)	 1297.9(5)
350.00	 3.507(14)	 1140.9(5)	 143.45(19)	 1284.4(5)
360.00	 4.751(14)	 1133.8(5)	 139.11(18)	 1272.9(5)
370.00	 5.971(14)	 1126.1(5)	 133.91(18)	 1260.0(5)
380.00	 7.119(13)	 1119.9(5)	 129.83(17)	 1249.7(5)
390.00	 8.147(14)	 1115.2(5)	 125.50(16)	 1240.7(5)
400.00	 9.172(13)	 1111.0(5)	 121.45(15)	 1232.5(5)
410.00	 10.104(13)	 1107.0(4)	 117.59(15)	 1224.6(5)
420.00	 11.001(13)	 1103.5(4)	 114.52(15)	 1218.0(4)
430.00	 11.826(13)	 1098.6(4)	 111.41(14)	 1210.0(4)
440.00	 12.645(13)	 1095.3(4)	 108.23(13)	 1203.5(4)
450.00	 13.389(13)	 1093.2(4)	 105.30(14)	 1198.5(5)
460.00	 14.100(12)	 1089.7(4)	 102.56(14)	 1192.2(4)
470.00	 14.781(13)	 1087.2(4)	 100.00(13)	 1187.2(5)
480.00	 15.408(12)	 1084.2(4)	 97.65(13)	 1181.8(4)
490.00	 16.029(12)	 1082.0(4)	 95.51(12)	 1177.5(4)
500.00	 16.602(12)	 1080.0(4)	 93.04(12)	 1173.0(4)
520.00	 17.718(12)	 1076.4(4)	 89.13(11)	 1165.5(4)
540.00	 18.673(12)	 1072.0(4)	 85.54(11)	 1157.5(4)
560.00	 19.591(12)	 1068.4(4)	 82.03(10)	 1150.4(4)
580.00	 20.402(11)	 1065.7(4)	 78.83(10)	 1144.5(4)
600.00	 21.173(11)	 1062.3(4)	 75.83(10)	 1138.2(4)
620.00	 21.881(11)	 1058.9(4)	 73.48(9)	 1132.4(4)
640.00	 22.527(11)	 1054.9(4)	 70.67(8)	 1125.6(4)
660.00	 23.097(11)	 1052.7(4)	 68.58(8)	 1121.2(4)
680.00	 23.668(11)	 1050.3(4)	 66.36(8)	 1116.6(4)
700.00	 24.183(11)	 1046.6(4)	 64.43(7)	 1111.1(4)
720.00	 24.672(11)	 1044.1(4)	 62.55(7)	 1106.6(4)
740.00	 25.114(11)	 1040.2(4)	 60.98(8)	 1101.1(4)
760.00	 25.524(11)	 1037.6(4)	 59.31(7)	 1096.9(4)
780.00	 25.908(11)	 1034.4(4)	 57.80(7)	 1092.2(4)
800.00	 26.252(11)	 1031.5(4)	 56.29(7)	 1087.8(4)
820.00	 26.599(10)	 1028.1(4)	 54.84(6)	 1082.9(4)
840.00	 26.937(10)	 1024.9(4)	 53.60(7)	 1078.5(4)
860.00	 27.221(10)	 1022.6(4)	 52.29(6)	 1074.8(4)
880.00	 27.493(10)	 1018.9(4)	 51.11(6)	 1070.0(4)
900.00	 27.751(10)	 1015.1(4)	 49.98(6)	 1065.1(4)
920.00	 28.010(10)	 1012.6(4)	 48.84(6)	 1061.5(4)
940.00	 28.229(10)	 1010.5(4)	 47.77(5)	 1058.2(4)
960.00	 28.446(10)	 1006.7(4)	 46.98(5)	 1053.7(4)
980.00	 28.654(10)	 1003.3(4)	 46.01(5)	 1049.3(4)
1000.00	 28.847(10)	 1000.6(4)	 45.01(5)	 1045.6(4)
1050.00	 29.296(10)	 992.3(4)	 43.12(5)	 1035.4(4)
1100.00	 29.661(10)	 984.0(4)	 41.21(5)	 1025.2(4)
1150.00	 30.010(10)	 976.6(4)	 39.47(4)	 1016.1(4)
1200.00	 30.285(9)	 968.7(4)	 38.00(4)	 1006.7(4)
1250.00	 30.519(9)	 961.2(4)	 36.52(4)	 997.7(4)
1300.00	 30.741(9)	 953.1(4)	 35.21(4)	 988.3(4)
1350.00	 30.936(9)	 945.5(3)	 34.03(4)	 979.5(3)
1400.00	 31.095(9)	 938.3(4)	 32.95(4)	 971.3(4)
1450.00	 31.225(9)	 930.2(4)	 31.94(3)	 962.2(4)
1500.00	 31.352(9)	 923.5(4)	 30.93(3)	 954.4(4)
1600.00	 31.556(9)	 908.6(3)	 29.27(3)	 937.9(3)
1700.00	 31.699(8)	 894.9(3)	 27.71(3)	 922.6(3)
1800.00	 31.798(8)	 881.6(3)	 26.38(3)	 908.0(3)
1900.00	 31.855(8)	 867.3(3)	 25.16(3)	 892.5(3)
2000.00	 31.904(8)	 855.6(3)	 24.03(2)	 879.7(3)
2200.00	 31.911(8)	 830.8(3)	 22.21(2)	 853.0(3)
2400.00	 31.854(7)	 808.2(3)	 20.645(19)	 828.8(3)
2600.00	 31.765(8)	 787.3(3)	 19.314(18)	 806.6(3)
2800.00	 31.647(7)	 767.3(3)	 18.169(17)	 785.5(3)
3000.00	 31.488(7)	 747.9(3)	 17.160(16)	 765.1(3)
