temperature	 b3cb8a	 b3cb8na	 b3cb8tot
1450.00	 931.1(10)	 32.06(10)	 963.1(10)
1500.00	 924.0(10)	 30.97(10)	 955.0(11)
1600.00	 909.5(10)	 29.14(9)	 938.6(10)
1700.00	 894.7(9)	 27.77(9)	 922.5(9)
1800.00	 880.2(10)	 26.38(8)	 906.5(10)
1900.00	 868.1(10)	 25.26(7)	 893.4(10)
2000.00	 855.1(9)	 24.00(7)	 879.1(9)
2200.00	 833.2(9)	 22.07(7)	 855.3(9)
2400.00	 809.9(9)	 20.65(6)	 830.6(9)
2600.00	 788.2(9)	 19.36(6)	 807.5(9)
2800.00	 769.5(9)	 18.18(5)	 787.7(9)
3000.00	 748.0(9)	 17.20(5)	 765.2(9)
